Nonterminal,FIRST,FOLLOW
S,"ϵ,vtype,class",$
CODE,"ϵ,vtype,class",$
VDECL,vtype,"$,vtype,class,return,id,if,while,rbrace"
ASSIGN,id,semi
RHS,"literal,character,boolstr,lparen,id,num",semi
EXPR,"lparen,id,num","semi,addsub,rparen"
TERM,"lparen,id,num","semi,addsub,multdiv,rparen"
FACTOR,"lparen,id,num","semi,addsub,multdiv,rparen"
FDECL,vtype,"$,vtype,class,rbrace"
ARG,"vtype,ϵ",rparen
MOREARGS,"comma,ϵ",rparen
BLOCK,"ϵ,vtype,id,if,while","return,rbrace"
STMT,"vtype,id,if,while","return,vtype,id,if,while,rbrace"
COND,boolstr,"rparen,comp"
ELSE,"else,ϵ","return,vtype,id,if,while,rbrace"
RETURN,return,rbrace
CDECL,class,"$,vtype,class"
ODECL,"vtype,ϵ",rbrace
